"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
"219",2011,"Almería","La Liga","Diego Alves","BRA","GK","25",1985,33,33,2970,33,56,1.7,193,137,71,5,11,17,2,6.1,NA,NA,NA,NA,NA,"https://fbref.com/en/players/12421a7c/Diego-Alves"
"220",2011,"Almería","La Liga","Esteban","ESP","GK","35",1975,5,5,450,5,14,2.8,41,27,65.9,1,1,3,1,20,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e4fc2638/Esteban"
"221",2011,"Arles-Avignon","Ligue 1","Cyrille Merville","FRA","GK","28",1982,19,19,1681,18.7,33,1.77,84,51,60.7,1,6,11,5,26.3,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5e398b4b/Cyrille-Merville"
"222",2011,"Arles-Avignon","Ligue 1","Vincent Planté","FRA","GK","29",1980,18,17,1559,17.3,34,1.96,88,54,61.4,1,5,12,3,17.6,NA,NA,NA,NA,NA,"https://fbref.com/en/players/0108f81e/Vincent-Plante"
"223",2011,"Arles-Avignon","Ligue 1","Naby Yattara","GUI","GK","26",1984,2,2,180,2,3,1.5,10,7,70,1,0,1,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a0e59bc0/Naby-Yattara"
"224",2011,"Arsenal","Premier League","Manuel Almunia","ESP","GK","33",1977,8,8,720,8,10,1.25,29,19,65.5,4,3,1,2,25,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9f6b2f8c/Manuel-Almunia"
"225",2011,"Arsenal","Premier League","Łukasz Fabiański","POL","GK","25",1985,14,14,1260,14,14,1,52,38,73.1,9,2,3,5,35.7,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9328b835/Lukasz-Fabianski"
"226",2011,"Arsenal","Premier League","Jens Lehmann","GER","GK","40",1969,1,1,90,1,1,1,4,3,75,0,1,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d1ca1129/Jens-Lehmann"
"227",2011,"Arsenal","Premier League","Wojciech Szczęsny","POL","GK","20",1990,15,15,1350,15,19,1.27,65,46,70.8,6,5,4,6,40,NA,NA,NA,NA,NA,"https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny"
"228",2011,"Aston Villa","Premier League","Brad Friedel","USA","GK","39",1971,38,38,3420,38,59,1.55,189,130,68.8,12,12,14,7,18.4,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b8c0a975/Brad-Friedel"
