"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Press_Pass","Sw_Pass","Crs_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Ground_Height","Low_Height","High_Height","Left_Body","Right_Body","Head_Body","TI_Body","Other_Body","Cmp_Outcomes","Off_Outcomes","Out_Outcomes","Int_Outcomes","Blocks_Outcomes","Url","TI_Pass"
"47",2018,"Amiens","Ligue 1","Oualid El Hajjam","MAR","DF","26",1991,24.4,1046,810,236,8,0,159,19,39,1,0,0,0,512,144,390,137,602,69,227,4,725,6,36,26,30,"https://fbref.com/en/players/9f29c204/Oualid-El-Hajjam",NA
"48",2018,"Amiens","Ligue 1","Julien Ielsch","FRA","MF,DF","34",1983,6.8,236,224,12,3,0,40,1,4,0,0,0,0,134,33,69,148,47,28,9,3,159,0,6,5,8,"https://fbref.com/en/players/20c2c0e8/Julien-Ielsch",NA
"49",2018,"Amiens","Ligue 1","Gaël Kakuta","COD","MF,FW","26",1991,34.3,1378,1225,153,61,7,227,49,89,76,0,0,0,862,143,373,1076,196,69,10,6,889,11,46,62,62,"https://fbref.com/en/players/5b1bf5e3/Gael-Kakuta",NA
"50",2018,"Amiens","Ligue 1","Seybou Koita","NIG","FW,MF","23",1994,2.4,57,55,2,0,0,3,1,2,0,0,0,0,39,8,10,7,44,2,0,3,39,0,2,2,3,"https://fbref.com/en/players/d3b58e33/Seybou-Koita",NA
"51",2018,"Amiens","Ligue 1","Moussa Konaté","SEN","FW","24",1993,27.5,513,477,36,2,0,143,12,20,0,0,0,0,312,93,108,102,293,72,2,21,345,0,29,15,26,"https://fbref.com/en/players/fcbcbd94/Moussa-Konate",NA
"52",2018,"Amiens","Ligue 1","Brighton Labeau","MTQ","FW","21",1996,0.3,3,2,1,0,0,1,0,0,0,0,0,0,3,0,0,2,1,0,0,0,3,0,0,0,0,"https://fbref.com/en/players/f45cf4f7/Brighton-Labeau",NA
"53",2018,"Amiens","Ligue 1","Harrison Manzala","COD","FW,MF","23",1994,20.7,665,651,14,2,2,131,12,41,0,0,0,0,511,39,115,78,527,47,10,0,477,3,16,18,31,"https://fbref.com/en/players/392d98fc/Harrison-Manzala",NA
"54",2018,"Amiens","Ligue 1","Stiven Mendoza","COL","FW,MF","25",1992,11.5,366,334,32,5,1,85,10,16,21,0,0,0,265,39,62,325,20,15,2,2,256,0,8,6,23,"https://fbref.com/en/players/e68f2cb4/Stiven-Mendoza",NA
"55",2018,"Amiens","Ligue 1","Thomas Monconduit","FRA","MF","26",1991,32.8,1440,1406,34,26,3,280,40,11,0,0,0,0,1044,102,294,248,1051,118,1,1,1128,3,36,49,22,"https://fbref.com/en/players/84d94b91/Thomas-Monconduit",NA
"56",2018,"Amiens","Ligue 1","Nathan","BRA","MF","21",1996,0.1,4,3,1,0,0,0,1,0,1,0,0,0,2,1,1,0,4,0,0,0,4,0,0,0,0,"https://fbref.com/en/players/fa00f0c9/Nathan",NA
"57",2018,"Amiens","Ligue 1","Tanguy Ndombele","FRA","MF","20",1996,2.6,107,103,4,0,0,10,6,2,4,0,0,0,71,11,25,5,98,2,0,1,81,0,4,0,3,"https://fbref.com/en/players/5cdddffa/Tanguy-Ndombele",NA
"58",2018,"Amiens","Ligue 1","Guy Ngosso","CMR","MF","32",1985,6.8,334,330,4,3,0,45,14,0,0,0,0,0,234,33,67,56,250,22,1,0,279,1,8,9,2,"https://fbref.com/en/players/34cfec6b/Guy-Ngosso",NA
"59",2018,"Amiens","Ligue 1","Lacina Traoré","CIV","FW","27",1990,8.7,212,207,5,0,0,70,3,5,0,0,0,0,85,49,78,97,21,63,0,1,114,0,7,7,11,"https://fbref.com/en/players/883f251e/Lacina-Traore",NA
"60",2018,"Amiens","Ligue 1","Bongani Zungu","RSA","MF","24",1992,23.2,1083,1067,16,14,1,195,47,6,0,0,0,0,788,81,214,51,918,88,2,9,896,3,25,26,15,"https://fbref.com/en/players/a8797cf1/Bongani-Zungu",NA
"61",2018,"Angers","Ligue 1","Yoann Andreu","FRA","DF","28",1989,23,1176,965,211,8,0,191,23,55,2,0,0,0,690,135,351,342,550,72,201,5,910,3,29,28,33,"https://fbref.com/en/players/872cd68c/Yoann-Andreu",NA
"62",2018,"Angers","Ligue 1","Abdoulaye Bamba","CIV","DF","27",1990,17,810,645,165,4,0,109,10,30,0,0,0,0,492,88,230,99,499,45,161,1,621,4,24,9,24,"https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba",NA
"63",2018,"Angers","Ligue 1","Ludovic Butelle","FRA","GK","34",1983,18.4,392,249,143,54,0,28,11,0,0,0,0,0,135,24,233,233,75,0,0,64,218,0,14,3,2,"https://fbref.com/en/players/26975a92/Ludovic-Butelle",NA
"64",2018,"Angers","Ligue 1","Pierrick Capelle","FRA","MF,FW","30",1987,20.9,815,780,35,6,1,200,18,20,5,0,0,0,583,81,151,610,101,65,23,3,631,3,19,19,28,"https://fbref.com/en/players/79b2399c/Pierrick-Capelle",NA
"65",2018,"Angers","Ligue 1","Saliou Ciss","SEN","DF,FW","27",1989,1.6,54,54,0,0,2,20,0,2,0,0,0,0,38,4,12,34,18,1,0,1,35,0,2,3,3,"https://fbref.com/en/players/2235f850/Saliou-Ciss",NA
"66",2018,"Angers","Ligue 1","Lassana Coulibaly","MLI","MF","21",1996,9.3,315,313,2,2,0,65,3,7,0,0,0,0,252,23,40,24,273,12,0,3,247,0,7,12,15,"https://fbref.com/en/players/85a44ecc/Lassana-Coulibaly",NA
"67",2018,"Angers","Ligue 1","Enzo Crivelli","FRA","FW","22",1995,11.4,263,254,9,0,1,69,2,3,0,0,0,0,136,40,87,29,148,40,0,18,173,1,4,15,7,"https://fbref.com/en/players/06f33dc8/Enzo-Crivelli",NA
"68",2018,"Angers","Ligue 1","Angelo Fulgini","FRA","MF,FW","20",1996,17,704,644,60,23,4,140,27,37,27,0,0,0,481,60,163,62,591,38,7,4,523,4,9,16,27,"https://fbref.com/en/players/4b96c347/Angelo-Fulgini",NA
"69",2018,"Angers","Ligue 1","Baptiste Guillaume","BEL","FW","22",1995,5.1,86,84,2,1,0,15,0,2,0,0,0,0,44,15,27,7,46,24,1,3,50,0,3,0,1,"https://fbref.com/en/players/9453d2f4/Baptiste-Guillaume",NA
"70",2018,"Angers","Ligue 1","Wilfried Kanga","FRA","FW,MF","19",1998,1.9,32,28,4,0,0,11,1,1,0,0,0,0,26,3,3,7,22,3,0,0,26,0,1,3,1,"https://fbref.com/en/players/b4c816a9/Wilfried-Kanga",NA
"71",2018,"Angers","Ligue 1","Billy Ketkeophomphone","LAO","MF,FW","27",1990,4.9,186,173,13,7,2,32,5,6,3,0,0,0,138,18,30,24,139,15,3,2,138,2,4,6,7,"https://fbref.com/en/players/06f46837/Billy-Ketkeophomphone",NA
"72",2018,"Angers","Ligue 1","Alexandre Letellier","FRA","GK","26",1990,13,256,162,94,35,0,18,6,0,0,0,0,0,80,8,168,2,202,0,0,44,161,0,7,0,2,"https://fbref.com/en/players/96fcd380/Alexandre-Letellier",NA
