"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","Drib_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","Drib_GCA","Sh_GCA","Fld_GCA","Def_GCA","Url"
"233",2018,"Barcelona","La Liga","Javier Mascherano","ARG","DF","33",1984,6,7,1.16,7,0,0,0,0,0,2,0.33,2,0,0,0,0,0,"https://fbref.com/en/players/5070881b/Javier-Mascherano"
"234",2018,"Barcelona","La Liga","Lionel Messi","ARG","FW","30",1987,33.3,238,7.14,137,7,37,20,33,4,42,1.26,24,2,7,5,4,0,"https://fbref.com/en/players/d70ce98e/Lionel-Messi"
"235",2018,"Barcelona","La Liga","Yerry Mina","COL","DF","22",1994,4.1,3,0.73,2,0,0,0,0,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/6d5701f2/Yerry-Mina"
"236",2018,"Barcelona","La Liga","Paulinho","BRA","MF","29",1988,21.6,40,1.85,28,0,2,6,3,1,6,0.28,4,0,0,2,0,0,"https://fbref.com/en/players/bb7337cc/Paulinho"
"237",2018,"Barcelona","La Liga","Gerard Piqué","ESP","DF","30",1987,29.2,17,0.58,13,0,1,1,2,0,1,0.03,0,0,0,0,1,0,"https://fbref.com/en/players/adfc9123/Gerard-Pique"
"238",2018,"Barcelona","La Liga","Ivan Rakitić","CRO","MF","29",1988,31.5,79,2.51,65,7,2,2,1,2,14,0.44,11,1,1,1,0,0,"https://fbref.com/en/players/89f951b5/Ivan-Rakitic"
"239",2018,"Barcelona","La Liga","Sergi Roberto","ESP","DF","25",1992,24.7,60,2.43,52,1,3,0,3,1,12,0.49,10,0,1,0,0,1,"https://fbref.com/en/players/335fa267/Sergi-Roberto"
"240",2018,"Barcelona","La Liga","Nélson Semedo","POR","DF","23",1993,16.6,25,1.51,19,0,0,0,4,2,2,0.12,1,0,0,0,1,0,"https://fbref.com/en/players/d04b94db/Nelson-Semedo"
"241",2018,"Barcelona","La Liga","Denis Suárez","ESP","MF,FW","23",1994,6.6,21,3.18,12,7,1,1,0,0,4,0.61,3,1,0,0,0,0,"https://fbref.com/en/players/12c50af5/Denis-Suarez"
"242",2018,"Barcelona","La Liga","Luis Suárez","URU","FW","30",1987,32.2,129,4,87,1,14,12,15,0,22,0.68,16,0,2,2,2,0,"https://fbref.com/en/players/a6154613/Luis-Suarez"
"243",2018,"Barcelona","La Liga","Marc-André ter Stegen","GER","GK","25",1992,37,1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen"
"244",2018,"Barcelona","La Liga","Samuel Umtiti","FRA","DF","23",1993,24.3,10,0.41,9,0,0,0,1,0,1,0.04,0,0,0,0,1,0,"https://fbref.com/en/players/3eed9821/Samuel-Umtiti"
"245",2018,"Barcelona","La Liga","Thomas Vermaelen","BEL","DF","31",1985,11.3,7,0.62,6,0,0,0,0,1,1,0.09,1,0,0,0,0,0,"https://fbref.com/en/players/d0d79694/Thomas-Vermaelen"
"246",2018,"Barcelona","La Liga","Aleix Vidal","ESP","MF,FW","27",1989,5.1,10,1.96,8,2,0,0,0,0,2,0.39,2,0,0,0,0,0,"https://fbref.com/en/players/04965583/Aleix-Vidal"
"247",2018,"Bayern Munich","Bundesliga","David Alaba","AUT","DF","25",1992,17.2,42,2.43,35,4,1,2,0,0,3,0.17,3,0,0,0,0,0,"https://fbref.com/en/players/05439de2/David-Alaba"
"248",2018,"Bayern Munich","Bundesliga","Thiago Alcántara","ESP","MF,FW","26",1991,13.9,54,3.9,47,2,1,0,2,2,3,0.22,3,0,0,0,0,0,"https://fbref.com/en/players/77e84962/Thiago-Alcantara"
"249",2018,"Bayern Munich","Bundesliga","Juan Bernat","ESP","DF,FW","24",1993,9.9,20,2.03,18,0,1,0,1,0,3,0.3,3,0,0,0,0,0,"https://fbref.com/en/players/433dc9a2/Juan-Bernat"
"250",2018,"Bayern Munich","Bundesliga","Jérôme Boateng","GER","DF","28",1988,18.2,25,1.37,25,0,0,0,0,0,8,0.44,8,0,0,0,0,0,"https://fbref.com/en/players/2db2fd7b/Jerome-Boateng"
"251",2018,"Bayern Munich","Bundesliga","Kingsley Coman","FRA","FW,MF","21",1996,12.8,63,4.9,48,0,10,3,2,0,9,0.7,6,0,2,0,1,0,"https://fbref.com/en/players/042e8a49/Kingsley-Coman"
"252",2018,"Bayern Munich","Bundesliga","Niklas Dorsch","GER","MF","19",1998,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7f73bdf4/Niklas-Dorsch"
"253",2018,"Bayern Munich","Bundesliga","Franck Evina","CMR","FW","17",2000,1.2,3,2.45,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/44e471ca/Franck-Evina"
"254",2018,"Bayern Munich","Bundesliga","Marco Friedl","AUT","DF","19",1998,0.5,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f86ad3f5/Marco-Friedl"
"255",2018,"Bayern Munich","Bundesliga","Mats Hummels","GER","DF","28",1988,24.6,33,1.34,31,0,0,2,0,0,4,0.16,3,0,0,1,0,0,"https://fbref.com/en/players/05d548d8/Mats-Hummels"
"256",2018,"Bayern Munich","Bundesliga","Joshua Kimmich","GER","DF","22",1995,25.9,95,3.67,65,20,0,1,8,1,22,0.85,19,1,0,1,1,0,"https://fbref.com/en/players/49296448/Joshua-Kimmich"
"257",2018,"Bayern Munich","Bundesliga","Robert Lewandowski","POL","FW","28",1988,24.1,68,2.82,43,1,9,7,8,0,11,0.46,7,0,2,0,2,0,"https://fbref.com/en/players/8d78e732/Robert-Lewandowski"
"258",2018,"Bayern Munich","Bundesliga","Lars Lukas Mai","GER","DF","17",2000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/95173427/Lars-Lukas-Mai"
"259",2018,"Bayern Munich","Bundesliga","Javi Martínez","ESP","MF,DF","28",1988,17.9,20,1.12,18,0,0,0,1,1,4,0.22,4,0,0,0,0,0,"https://fbref.com/en/players/7f97771d/Javi-Martinez"
"260",2018,"Bayern Munich","Bundesliga","Thomas Müller","GER","FW,MF","27",1989,22.3,91,4.18,79,0,4,3,3,2,21,0.96,19,0,0,1,0,1,"https://fbref.com/en/players/3c6089ab/Thomas-Muller"
"261",2018,"Bayern Munich","Bundesliga","Manuel Neuer","GER","GK","31",1986,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8778c910/Manuel-Neuer"
"262",2018,"Bayern Munich","Bundesliga","Kwasi Okyere Wriedt","GHA","MF","23",1994,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7124239e/Kwasi-Okyere-Wriedt"
