"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Press_Pass","Sw_Pass","Crs_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Ground_Height","Low_Height","High_Height","Left_Body","Right_Body","Head_Body","TI_Body","Other_Body","Cmp_Outcomes","Off_Outcomes","Out_Outcomes","Int_Outcomes","Blocks_Outcomes","Url","TI_Pass"
"57",2018,"Espanyol","La Liga","team",25,38,16990,15324,1666,474,12,2715,527,471,158,25,38,0,10332,2258,4400,5429,9070,1146,703,217,12572,68,430,400,512,"https://fbref.com/en/squads/a8661628/2017-2018/Espanyol-Stats",NA
"58",2018,"Espanyol","La Liga","opponent",25,38,19451,17867,1584,433,20,3055,672,479,188,22,28,3,12817,2274,4360,5740,11182,1178,704,220,15176,67,398,428,424,"https://fbref.com/en/squads/a8661628/2017-2018/Espanyol-Stats",NA
"59",2018,"Everton","Premier League","team",30,38,16281,14418,1863,425,24,2692,546,395,150,63,68,8,9179,2700,4402,3388,10278,846,853,238,11990,72,393,439,437,"https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats",NA
"60",2018,"Everton","Premier League","opponent",30,38,19823,17749,2074,508,26,3347,628,530,212,102,64,12,12232,3148,4443,5496,11548,883,1003,229,15384,55,378,552,465,"https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats",NA
"61",2018,"Fiorentina","Serie A","team",27,38,19375,17622,1753,421,22,2972,558,486,210,30,79,21,12230,2967,4178,5625,11372,896,802,283,15290,69,415,266,460,"https://fbref.com/en/squads/421387cf/2017-2018/Fiorentina-Stats",NA
"62",2018,"Fiorentina","Serie A","opponent",27,38,17582,15611,1971,514,18,3044,553,440,185,52,29,20,10482,2604,4496,4802,10466,751,820,260,13376,64,389,305,555,"https://fbref.com/en/squads/421387cf/2017-2018/Fiorentina-Stats",NA
"63",2018,"Freiburg","Bundesliga","team",29,34,14766,13081,1685,462,25,2728,409,313,127,34,41,8,8474,2307,3985,3650,8732,939,710,214,11014,36,328,206,432,"https://fbref.com/en/squads/a486e511/2017-2018/Freiburg-Stats",NA
"64",2018,"Freiburg","Bundesliga","opponent",29,34,18830,17219,1611,431,21,2851,519,468,167,28,55,17,11805,2662,4363,5134,11356,927,736,226,14947,68,359,241,397,"https://fbref.com/en/squads/a486e511/2017-2018/Freiburg-Stats",NA
"65",2018,"Genoa","Serie A","team",33,38,17522,15699,1823,462,20,2485,493,464,179,54,34,16,10565,2366,4591,6313,8842,884,777,236,13218,79,391,286,480,"https://fbref.com/en/squads/658bf2de/2017-2018/Genoa-Stats",NA
"66",2018,"Genoa","Serie A","opponent",33,38,20686,18876,1810,536,22,3019,669,480,156,43,37,14,13581,3130,3975,5984,12152,1006,774,316,16570,25,402,292,435,"https://fbref.com/en/squads/658bf2de/2017-2018/Genoa-Stats",NA
