"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
"44",2010,"Chievo","Serie A","opponent",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cc919b35/2009-2010/Chievo-Stats"
"45",2010,"Dortmund","Bundesliga","team",25,NA,49,0,NA,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/add600ae/2009-2010/Dortmund-Stats"
"46",2010,"Dortmund","Bundesliga","opponent",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/add600ae/2009-2010/Dortmund-Stats"
"47",2010,"Eint Frankfurt","Bundesliga","team",30,NA,62,5,NA,573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/f0ac8ee6/2009-2010/Eintracht-Frankfurt-Stats"
"48",2010,"Eint Frankfurt","Bundesliga","opponent",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/f0ac8ee6/2009-2010/Eintracht-Frankfurt-Stats"
"49",2010,"Espanyol","La Liga","team",28,NA,108,8,NA,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/a8661628/2009-2010/Espanyol-Stats"
"50",2010,"Espanyol","La Liga","opponent",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/a8661628/2009-2010/Espanyol-Stats"
"51",2010,"Everton","Premier League","team",28,NA,57,2,NA,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d3fd31cc/2009-2010/Everton-Stats"
"52",2010,"Everton","Premier League","opponent",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d3fd31cc/2009-2010/Everton-Stats"
"53",2010,"Fiorentina","Serie A","team",28,NA,77,6,NA,697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/421387cf/2009-2010/Fiorentina-Stats"
